model,obs_no,used_in_diagnostics,Date,arma_resid,egarchx_cond_vol,egarchx_std_resid,abs_egarchx_std_resid,devaluation_20100211_dummy,crisis_dummy,vix_change,us10y_change,dxy_return,oil_return,vnindex_return
ARMA32_EGARCHX_t_devaluation_dummy_only,1386,True,2015-08-12,0.8343087819173014,0.08623074556354628,9.675305211207663,9.675305211207663,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCHX_t_devaluation_dummy_only,308,True,2011-04-26,-1.189459442119671,0.14743029739352217,-8.067944399140401,8.067944399140401,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCHX_t_devaluation_dummy_only,2317,True,2019-04-26,0.2980544557673624,0.038254140868209635,7.791429868839501,7.791429868839501,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCHX_t_devaluation_dummy_only,3082,True,2022-05-11,0.47045873749162787,0.06879463242846594,6.838596571917445,6.838596571917445,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCHX_t_devaluation_dummy_only,136,True,2010-08-18,1.73980708492564,0.2592675258316867,6.710470504721449,6.710470504721449,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCHX_t_devaluation_dummy_only,2953,True,2021-11-04,-0.29624598412818887,0.044227386705967334,-6.698247538288718,6.698247538288718,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCHX_t_devaluation_dummy_only,1427,True,2015-10-09,-1.0087730938808142,0.1729878476014059,-5.831467978058221,5.831467978058221,0,0,-0.3400000000000034,0.0,-0.5364785849595322,0.4236867025988911,0.2110998400555175
ARMA32_EGARCHX_t_devaluation_dummy_only,3767,True,2025-02-03,0.9147832476759105,0.16616414242320865,5.505298762629668,5.505298762629668,0,0,2.1900000000000013,-0.04,0.5704792021586691,0.9292223188023918,-0.9547028924841604
ARMA32_EGARCHX_t_signed_shocks_lag1,6,False,2010-02-11,2.009600380245262,0.10125048497655766,19.847809921212143,19.847809921212143,1,1,-1.4399999999999975,0.0099999999999997,-0.0499948971374841,1.0019454603318323,1.8227279617483385
ARMA32_EGARCHX_t_signed_shocks_lag1,258,True,2011-02-11,0.7892995332218726,0.04773322662364416,16.535641712326676,16.535641712326676,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
