model,target,shock,horizon_weeks,structural_irf
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,8,-0.027588905833260426
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,9,-0.02314976570299612
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,10,-0.019424898664714578
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,11,-0.016299373620863304
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,12,-0.013676755018270554
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,0,-0.013833160497898013
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,1,-0.020809173404311182
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,2,-0.017931953222790762
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,3,-0.014765308904609625
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,4,-0.01235312618085197
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,5,-0.010370419922732597
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,6,-0.008702313749962649
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,7,-0.007302065733650757
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,8,-0.006127125967863926
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,9,-0.0051412534354391155
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,10,-0.004314010310537166
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,11,-0.0036198729980451007
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vnindex_return,12,-0.003037424459810744
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,0,1.0
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,1,0.8401922240649886
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,2,0.7056288975394125
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,3,0.5921028776140113
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,4,0.496823407204499
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,5,0.41688229669455795
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,6,0.34980480628979665
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,7,0.2935201657660026
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,8,0.24629188078630296
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,9,0.20666277056299315
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,10,0.1734101046208656
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,11,0.14550789336830575
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,log_selected_cond_vol,12,0.12209523244488193
